pushepisode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
1,Zombie,20.0,7.833332,19.278886079788208,-30.0,117.1123,True,482
2,Zombie,17.7304413,6.000000999999999,24.10362935066223,-30.0,103.32,False,599
3,Zombie,20.0,3.0,16.967793941497803,-30.0,216.657589,True,425
4,Zombie,20.0,4.999999000000001,16.48069715499878,-30.0,121.047079,True,413
5,Zombie,20.0,0.0,17.93801736831665,-30.0,137.5599775,True,449
6,Zombie,20.0,11.166667,17.433499336242676,-30.0,147.6,True,436
7,Zombie,20.0,5.666667,17.87372374534607,-30.0,128.005455,True,446
8,Zombie,20.0,0.0,7.266139507293701,0.0,179.679985,True,181
9,Zombie,20.0,0.0,12.625933408737183,-30.0,106.05501895,True,315
10,Zombie,20.0,0.0,21.084259271621704,-30.0,194.468839,True,528
11,Zombie,18.6720014,2.0,23.982176303863525,-30.0,118.0800045,False,599
12,Zombie,20.0,0.0,15.252524137496948,-30.0,102.8091097,True,382
13,Zombie,20.0,2.0,12.028147220611572,-30.0,105.33999925,True,301
14,Zombie,20.0,5.16667,14.153173446655273,-30.0,119.259985,True,354
15,Zombie,19.970036268,0.0,24.01366639137268,-30.0,88.56000750000001,False,600
16,Zombie,20.0,1.999999998503199e-06,18.7385835647583,-30.0,121.3599775,True,469
17,Zombie,20.0,4.833330999999999,18.53364372253418,-30.000000000000018,150.207631,True,464
18,Zombie,20.0,0.0,10.527085542678833,-30.0,120.93999099999999,True,264
19,Zombie,20.0,2.333335999999999,17.382388830184937,-30.0,150.159991,True,435
20,Zombie,20.0,6.0,20.602871656417847,-30.0,194.260006,True,515
21,Zombie,17.8886204,1.8333340000000007,24.004884004592896,-30.0,103.3200075,False,600
22,Zombie,20.0,5.166668,19.06340765953064,-30.0,147.6,True,477
23,Zombie,12.9857388,0.0,23.967965126037598,-30.0,78.98607000000001,False,598
24,Zombie,15.780225999999999,0.0,24.003363132476807,-30.0,103.32000000000001,False,600
25,Zombie,10.056932,15.166668,23.996190071105957,-30.000000000000004,44.10000000000002,False,601
26,Zombie,20.0,0.5,14.511511325836182,-30.0,145.3883695,True,363
