,episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob
0,1,Skeleton,20.0,3.3333319999999986,6.545924186706543,-20,104.99998500000001,True
1,2,Witch,2.0,8.666666,11.964704751968384,-60.0,60.0,False
2,3,Skeleton,20.0,16.333331,8.122524976730347,-20,45.0,True
3,4,Skeleton,20.0,0.0,9.943325757980347,-20,60.00001499999999,True
4,5,Witch,0.0,20.0,10.78104281425476,-45.0,60.0,False
5,6,Skeleton,20.0,0.0,5.60439133644104,-20,80.27038799999998,True
6,7,Skeleton,20.0,11.000002,9.054811239242554,-20,75.0,True
7,8,Witch,2.0,20.0,11.086141347885132,-45.0,60.0,False
8,9,Witch,0.5999979999999994,14.166668,11.930092096328735,-60.0,60.0,False
9,10,Witch,0.0,20.0,10.539937734603882,-45.0,60.000001000000005,False
10,11,Zombie,17.0424857,0.0,11.935258388519287,-20,44.100015000000006,False
11,12,Zombie,13.9654794,18.1666679,11.964016437530518,-20,58.8,False
12,13,Witch,4.0,3.1666680000000014,11.982609987258911,-60.0,75.0,False
13,14,Witch,4.0,20.0,12.054284572601318,-57.585600000000014,60.0,False
14,15,Zombie,20.0,0.6666680000000014,9.682854652404785,-20,44.10000000000001,True
15,16,Zombie,20.0,0.0,10.12808108329773,-20,78.9860625,True
16,17,Skeleton,20.0,11.333336,10.227925539016724,-20,45.000006000000006,True
17,18,Witch,0.0,4.333334000000001,11.917495012283325,-60.0,90.0,False
18,19,Zombie,20.0,8.166664,8.645459651947021,-20,73.79999850000002,True
19,20,Witch,2.0,7.833334000000001,12.093492269515991,-60.0,60.0,False
20,21,Witch,0.0,20.0,11.03420615196228,-20,60.000001,False
21,22,Zombie,20.0,0.0,8.85315752029419,-20,73.79999999999997,True
22,23,Witch,0.0,5.0,12.060375928878784,-60.0,75.0,False
23,24,Skeleton,20.0,9.833332,9.624650716781616,-20,43.71360000000001,True
24,25,Skeleton,20.0,13.166668,9.676117897033691,-20,75.0,True
25,26,Witch,0.0,17.833333,12.032373666763306,-45.0,60.0,False
26,27,Witch,2.4499989999999983,20.0,10.324606895446777,-60.0,90.0,False
27,28,Skeleton,20.0,2.0,6.906225919723511,-20,104.99998500000001,True
28,29,Zombie,20.0,12.0,10.563714981079102,-20,59.039992500000004,True
29,30,Zombie,20.0,7.833332,7.279664516448975,-20,154.979985,True
30,31,Witch,0.0,6.833334000000001,12.069464921951294,-60.0,120.0,False
31,32,Zombie,20.0,18.166667,10.113494634628296,-20,44.10000000000002,True
32,33,Witch,0.0,5.833333,12.034440517425537,-60.0,75.0,False
33,34,Witch,0.0,13.666666,11.98521113395691,-60.0,105.0,False
34,35,Skeleton,20.0,3.1666659999999993,3.4732730388641357,-20,105.0,True
35,36,Witch,0.0,18.999999,11.997889518737793,-50.0,60.0,False
36,37,Skeleton,20.0,16.833332,6.1347479820251465,-20,80.0,True
37,38,Witch,1.3000000000000007,4.833334000000001,12.019033908843994,-60.0,75.0,False
38,39,Witch,2.989439000000001,4.500002,12.014795780181885,-60.0,60.0,False
39,40,Witch,0.0,20.0,11.432770013809204,-60.0,60.0,False
40,41,Zombie,20.0,8.833333,9.271011590957642,-20,59.039999999999985,True
41,42,Skeleton,20.0,2.0,7.808823347091675,-20,75.0,True
42,43,Witch,0.0,20.0,10.995173931121826,-60.0,60.0,False
43,44,Zombie,20.0,8.666664,11.86114764213562,-20,44.100015000000006,True
44,45,Zombie,20.0,3.8333340000000007,8.398407936096191,-20,78.98606400000001,True
45,46,Zombie,20.0,17.833331,11.955559730529785,-20,53.20241250000001,True
46,47,Witch,0.0,8.833334,12.050053596496582,-60.0,45.0,False
47,48,Witch,0.0,20.0,9.120129108428955,-60.0,60.000000926514005,False
48,49,Zombie,20.0,0.8333340000000007,9.256705045700073,-20,73.8,True
49,50,Witch,0.0,20.0,11.968291521072388,-45.0,58.33333000000002,False
50,51,Zombie,20.0,11.666668,10.982137441635132,-20,30.931764,True
51,52,Skeleton,20.0,1.6666659999999993,7.588118314743042,-20,59.99998500000001,True
52,53,Skeleton,20.0,11.0,10.76741099357605,-20,44.999999999999986,True
53,54,Witch,0.0,11.333333,12.067802906036377,-45.0,60.0,False
54,55,Skeleton,20.0,17.000001,7.805630922317505,-20,60.0,True
55,56,Witch,3.0,7.333334000000001,11.97292447090149,-60.0,60.0,False
56,57,Zombie,16.1488113,20.0,9.019794940948486,-20,42.754979999999996,False
57,58,Skeleton,20.0,8.166668,10.087146043777466,-20,60.0,True
58,59,Zombie,20.0,0.0,8.455030918121338,-20,50.03920499999999,True
59,60,Skeleton,20.0,6.833334000000001,10.734850883483887,-20,45.0,True
60,61,Witch,0.0,10.166667,11.979906558990479,-45.0,45.0,False
61,62,Skeleton,20.0,16.833331,8.788536310195923,-20,44.999999999999986,True
62,63,Witch,2.0,15.833333,11.974005699157715,-60.0,150.0,False
63,64,Skeleton,20.0,0.5,4.040382385253906,-20,165.0,True
64,65,Skeleton,19.6252786,17.000002,11.973681688308716,-20,49.99998500000001,False
65,66,Zombie,20.0,12.666666,10.920191049575806,-20,59.04001499999999,True
66,67,Zombie,20.0,2.6666659999999993,8.43833613395691,-20,76.53317449999999,True
67,68,Skeleton,20.0,6.333333,8.063894510269165,-20,59.84158500000001,True
68,69,Zombie,20.0,1.1666659999999993,11.066237926483154,-20,103.3199955,True
69,70,Witch,4.0,0.0,11.982693672180176,-60.0,75.0,False
70,71,Skeleton,20.0,19.333333,7.55113410949707,-20,100.2704,True
71,72,Zombie,20.0,0.0,5.552123785018921,-20,103.3199955,True
72,73,Skeleton,19.37024117,19.166667,11.971897602081299,-20,30.00001499999999,False
73,74,Zombie,20.0,7.833333,4.806157350540161,-20,103.32001500000001,True
74,75,Witch,0.0,20.0,11.686786890029907,-60.0,60.0,False
75,76,Witch,0.0,9.833333,12.061095952987671,-60.0,60.0,False
76,77,Witch,5.0,20.0,10.795187711715698,-60.0,90.0,False
77,78,Zombie,20.0,3.5,9.988428592681885,-20,59.04,True
78,79,Witch,0.0,16.666666,11.977689981460571,-68.33334,105.0,False
79,80,Skeleton,20.0,6.833333,8.185131311416626,-20,60.0,True
80,81,Witch,3.0,4.333334000000001,11.967410802841187,-70.0,90.0,False
81,82,Skeleton,20.0,2.1666680000000014,4.34585165977478,-20,104.99998800000002,True
82,83,Witch,0.0,12.833334,11.982958316802979,-60.0,60.0,False
83,84,Witch,3.0,19.666666030000002,12.024720191955566,-60.0,60.000000299999996,False
84,85,Witch,0.0,19.66666794,12.03684115409851,-60.0,60.0,False
85,86,Witch,0.0,20.0,10.757426738739014,-60.0,60.0,False
86,87,Witch,0.0,14.833334,11.935034036636353,-60.0,101.66666,False
87,88,Zombie,20.0,3.1666680000000014,9.898953914642334,-20,88.55999999999997,True
88,89,Zombie,20.0,0.0,6.7644171714782715,-20,57.84768,True
89,90,Skeleton,20.0,6.500002,11.103971481323242,-20,47.58559895000002,True
90,91,Witch,0.0,19.666666030000002,11.982905626296997,-57.585600000000014,60.000000299999996,False
91,92,Skeleton,20.0,4.833333,7.078073978424072,-20,60.0,True
92,93,Witch,2.1499999999999986,9.333333,12.056128025054932,-70.00000000000003,120.00000000000003,False
93,94,Witch,0.0,20.0,11.979594945907593,-60.0,60.0,False
94,95,Skeleton,20.0,4.833333,8.84077763557434,-20,60.00001500000002,True
95,96,Witch,0.0,11.166666,12.061980485916138,-60.0,75.0,False
96,97,Witch,0.0,9.333333,12.09089469909668,-45.494399999999985,60.0,False
97,98,Zombie,20.0,7.000002,5.673267602920532,-20,133.3199925,True
98,99,Skeleton,20.0,6.333333,7.267635107040405,-20,92.097594,True
99,100,Witch,0.14999999999999858,15.833332,11.94901156425476,-60.0,80.27037000000001,False
100,101,Witch,0.14999999999999858,2.3333340000000007,11.981563329696655,-60.0,60.0,False
101,102,Witch,2.0,13.666665,12.048830032348633,-60.0,60.0,False
102,103,Zombie,20.0,11.333331,11.129306554794312,-20,59.04,True
